–1, NA, 3, 2, 0, NA
0, NA, 3, 2, 0, NA
1, 5, 4, 3, 1, Large
2, 5, 4, 3, 1, Large
3, 5, 4, 3, 1, Large
4, 6, 5, 3, 2, Large
5, 6, 5, 4, 2, Large
6, 7, 5, 4, 2, Huge
7, 7, 6, 4, 2, Huge
8, 7, 6, 4, 3, Huge
9, 7, 6, 4, 3, Huge
10, 8, 7, 5, 3, Gargantuan
11, 8, 7, 5, 3, Gargantuan
12, 8, 7, 5, 4, Gargantuan
13, 9, 8, 5, 4, Gargantuan
14, 9, 8, 5, 4, Gargantuan
15, 9, 8, 6, 4, Gargantuan
16, 10, 9, 6, 5, NA
17, 10, 9, 6, 5, NA
18, 10, 9, 6, 5, NA
19, 11, 10, 6, 5, NA
20, 11, 10, 7, 6, NA
21, 11, 10, 7, 6, NA
22, 11, 10, 8, 6, NA
23, 11, 10, 8, 6, NA
24, 13, 12, 9, 7, NA
25, 13, 12, 9, 7, NA
